station_id,lat,lon,timestamp,temperature,pressure,humidity
ST01,28.61,77.2,2026-08-28 00:00:00,25.0,1010.8,62.6
ST01,28.61,77.2,2026-08-28 00:10:00,30.3,1008.4,55.4
ST01,28.61,77.2,2026-08-28 00:20:00,26.3,1002.2,52.6
ST01,28.61,77.2,2026-08-28 00:30:00,30.1,1005.4,66.5
ST01,28.61,77.2,2026-08-28 00:40:00,26.7,1007.9,54.1
ST01,28.61,77.2,2026-08-28 00:50:00,22.4,1011.8,55.0
ST01,28.61,77.2,2026-08-28 01:00:00,34.1,1010.4,63.2
ST01,28.61,77.2,2026-08-28 01:10:00,26.5,1012.8,55.2
ST01,28.61,77.2,2026-08-28 01:20:00,28.5,1006.9,54.9
ST01,28.61,77.2,2026-08-28 01:30:00,27.3,1010.0,55.7
ST01,28.61,77.2,2026-08-28 01:40:00,27.2,1006.2,63.1
ST01,28.61,77.2,2026-08-28 01:50:00,30.5,1013.6,82.2
ST01,28.61,77.2,2026-08-28 02:00:00,28.3,1007.0,67.1
ST01,28.61,77.2,2026-08-28 02:10:00,23.8,1008.4,66.2
ST01,28.61,77.2,2026-08-28 02:20:00,24.4,1006.6,53.0
ST01,28.61,77.2,2026-08-28 02:30:00,28.1,1012.7,64.7
ST01,28.61,77.2,2026-08-28 02:40:00,30.0,1009.4,66.0
ST01,28.61,77.2,2026-08-28 02:50:00,26.2,1013.3,47.9
ST01,28.61,77.2,2026-08-28 03:00:00,27.3,1013.5,56.7
ST01,28.61,77.2,2026-08-28 03:10:00,25.5,1010.9,66.7
ST01,28.61,77.2,2026-08-28 03:20:00,25.2,1012.9,59.4
ST01,28.61,77.2,2026-08-28 03:30:00,29.7,1011.0,72.0
ST01,28.61,77.2,2026-08-28 03:40:00,36.2,1008.8,52.6
ST01,28.61,77.2,2026-08-28 03:50:00,27.6,1013.1,48.6
ST01,28.61,77.2,2026-08-28 04:00:00,30.0,1008.4,60.2
ST01,28.61,77.2,2026-08-28 04:10:00,24.0,1012.2,53.7
ST01,28.61,77.2,2026-08-28 04:20:00,27.2,1011.5,56.6
ST01,28.61,77.2,2026-08-28 04:30:00,30.6,1010.9,62.1
ST01,28.61,77.2,2026-08-28 04:40:00,31.2,1009.1,61.4
ST01,28.61,77.2,2026-08-28 04:50:00,29.4,1008.9,57.9
